"pwsid","gw_sw_code","primary_source_code","first_reported_date","years_operating","owner_type","primacy_type","is_grant_eligible_ind","is_wholesaler_ind","is_school_or_daycare_ind","source_water_protection_code","phone_number","lead_and_copper_rule_healthbased_5yr","radionuclides_and_revised_rad_rule_healthbased_5yr","groundwater_rule_healthbased_5yr","surface_water_treatment_rules_healthbased_5yr","total_coliform_rules_healthbased_5yr","inorganic_chemicals_healthbased_5yr","stage_1_disinfectants_and_byproducts_rule_healthbased_5yr","stage_2_disinfectants_and_byproducts_rule_healthbased_5yr","synthetic_organic_chemicals_healthbased_5yr","volatile_organic_chemicals_healthbased_5yr","health_viols_5yr","paperwork_viols_5yr","total_viols_5yr","lead_and_copper_rule_healthbased_10yr","radionuclides_and_revised_rad_rule_healthbased_10yr","groundwater_rule_healthbased_10yr","surface_water_treatment_rules_healthbased_10yr","total_coliform_rules_healthbased_10yr","inorganic_chemicals_healthbased_10yr","stage_1_disinfectants_and_byproducts_rule_healthbased_10yr","stage_2_disinfectants_and_byproducts_rule_healthbased_10yr","synthetic_organic_chemicals_healthbased_10yr","volatile_organic_chemicals_healthbased_10yr","health_viols_10yr","paperwork_viols_10yr","total_viols_10yr","violations_all_years","open_health_viol"
"CT0180171","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 748-0894",0,0,0,0,4,0,0,0,0,0,4,15,19,0,0,0,0,4,0,0,0,0,0,4,18,22,54,"Yes"
"CT0180181","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 733-8585",0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,19,19,128,"No"
"CT0180201","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 744-8400",1,0,0,0,0,0,0,0,0,0,1,9,10,1,0,0,0,0,0,0,0,0,0,1,17,18,85,"Yes"
"CT0180231","Groundwater","GW","1980-12-29",46,"Private","State","Yes","No","No","Yes","No Information",0,0,0,0,2,0,0,0,0,0,2,11,13,0,0,0,0,7,0,0,0,0,0,7,24,31,85,"No"
"CT0180251","Groundwater","GW","1981-05-27",45,"Private","State","Yes","No","No","Yes","(203) 744-8400",0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,59,59,170,"No"
"CT0184011","Groundwater","GW","1987-12-09",39,"Local","State","Yes","No","No","Yes","(203) 775-1403",2,0,0,0,0,0,0,0,0,0,2,69,71,2,0,0,0,0,0,0,0,0,0,2,130,132,148,"Yes"
"CT0189971","Groundwater","GW","2012-02-22",14,"Private","State","Yes","No","No","Yes","(646) 596-1444",0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,3,0,0,0,0,3,22,25,227,"No"
"CT0190051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 245-8902",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,7,8,36,"Yes"
"CT0199091","Groundwater","GW","2006-11-07",20,"Private","State","Yes","No","No","Yes","(860) 617-7099",1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,5,6,10,"Yes"
"CT0201011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 965-6583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"No"
"CT0201021","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 916-1967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"No"
"CT0210011","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0,0,0,3,46,49,77,"No"
"CT0220011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 932-9211",1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,2,3,45,"Yes"
"CT0220191","Groundwater","GW","1995-03-13",31,"Private","State","Yes","No","No","Yes","(860) 564-0838",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,3,4,14,"Yes"
"CT0229031","Groundwater","GW","2004-03-20",22,"Private","State","Yes","No","No","Yes","(860) 887-2579",1,0,0,0,1,0,0,0,0,0,2,2,4,1,0,1,0,1,0,0,0,0,0,3,11,14,34,"Yes"
"CT0230011","Surface Water","SW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,"No"
"CT0231011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 543-4005",0,0,1,0,1,0,0,0,0,0,2,1,3,0,0,1,0,1,0,0,0,0,0,2,24,26,88,"No"
"CT0248011","Groundwater","GW","1993-02-01",33,"Local","State","Yes","No","No","Yes","(860) 779-2325",1,0,0,0,1,0,0,0,0,0,2,2,4,1,0,0,0,1,0,0,0,0,0,2,4,6,12,"Yes"
"CT0251021","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 523-0157",1,0,0,0,0,0,0,0,0,0,1,11,12,1,0,0,0,0,0,0,0,0,0,1,18,19,174,"Yes"
"CT0261001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 526-5316",1,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,1,0,0,0,0,0,2,4,6,30,"Yes"
"CT0261031","Surface Water","SW","1992-05-06",34,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"No"
"CT0261081","Groundwater","GW","1994-03-15",32,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,40,"No"
"CT0270041","Groundwater","GW","1980-02-28",46,"Private","State","Yes","No","No","Yes","(248) 626-0737",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,39,"No"
"CT0270091","Groundwater","GW","2006-02-28",20,"Private","State","Yes","No","No","Yes","(248) 626-0737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,"No"
"CT0270101","Groundwater","GW","1994-08-02",32,"Private","State","Yes","No","No","Yes","(248) 626-0737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,113,"No"
"CT0270111","Groundwater","GW","1994-08-02",32,"Private","State","Yes","No","No","Yes","(248) 626-0737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,119,"No"
"CT0280011","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 537-7288",0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,21,21,64,"No"
"CT0280031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 333-6535",0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,4,5,41,"No"
"CT0280041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(845) 323-8342",1,0,0,0,0,0,0,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,0,1,40,41,123,"Yes"
"CT0280051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 645-1776",0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,36,36,90,"No"
"CT0280071","Groundwater","GW","1980-02-28",46,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"No"
"CT0282001","Groundwater","GW","1982-04-15",44,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,111,"No"
"CT0286011","Groundwater","GW","1986-12-29",40,"Private","State","Yes","No","No","Yes","(860) 965-6345",1,0,0,0,1,0,0,0,0,0,2,2,4,1,0,0,0,1,0,0,0,0,0,2,6,8,128,"Yes"
"CT0300011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"No"
"CT0300071","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","No","No Information",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,17,17,37,"No"
"CT0309051","Groundwater","GW","1993-02-01",33,"Private","State","Yes","No","No","Yes","(860) 398-5425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"No"
"CT0310011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,"No"
"CT0311021","Groundwater","GW","1994-08-02",32,"Private","State","Yes","No","No","Yes","(203) 233-5941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,"No"
"CT0320011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"No"
"CT0320021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"No"
"CT0320031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"No"
"CT0320041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,"No"
"CT0320051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,"No"
"CT0320061","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 337-6337",1,0,0,0,2,0,0,0,0,0,3,2,5,1,0,0,0,3,0,0,0,0,0,4,7,11,23,"Yes"
"CT0320071","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"No"
"CT0320091","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"No"
"CT0320171","Groundwater","GW","1980-02-28",46,"Local","State","Yes","No","No","Yes","(860) 742-5518",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,6,14,"No"
"CT0320181","Groundwater","GW","2004-03-20",22,"Local","State","Yes","No","No","Yes","(860) 742-5518",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,7,11,"No"
"CT0330011","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 635-4420",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,22,22,83,"No"
"CT0340011","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 797-4539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,9,100,"No"
"CT0340051","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 797-4539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,123,"No"
"CT0340081","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,17,"No"
"CT0340111","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","No Information",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"No"
"CT0340131","Groundwater","GW","1979-03-08",47,"Private","State","No","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,"No"
"CT0340141","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 792-7558",2,0,0,0,0,0,0,0,0,0,2,23,25,2,0,0,0,1,0,0,0,0,0,3,36,39,76,"No"
"CT0340151","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 797-4539",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,70,"No"
"CT0340171","Surface Water","GU","1980-02-28",46,"Private","State","Yes","No","No","Yes","(203) 512-2275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53,"No"
"CT0340181","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 628-0935",1,0,0,0,0,0,0,0,0,0,1,15,16,1,0,0,0,0,0,0,0,0,0,1,22,23,61,"Yes"
"CT0340191","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,17,"No"
"CT0340211","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,"No"
"CT0340231","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 792-2793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,"No"
"CT0340251","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,"No"
"CT0340271","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,"No"
"CT0347031","Groundwater","GW","1987-04-28",39,"Private","State","Yes","No","No","Yes","(781) 285-8606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,99,"No"
"CT0350011","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,"No"
"CT0378011","Surface Water","SWP","1992-12-29",34,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,"No"
"CT0380021","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 349-3625",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,68,"No"
"CT0380641","Groundwater","GW","1995-10-17",31,"Local","State","Yes","No","No","Yes","(860) 349-3625",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,23,"Yes"
"CT0380651","Groundwater","GW","1996-08-07",30,"Private","State","Yes","No","No","Yes","(860) 349-3625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"No"
"CT0381011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 349-1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5,49,"No"
"CT0400031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 914-2022",1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,4,5,84,"Yes"
"CT0400041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 218-3481",1,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,19,20,94,"Yes"
"CT0400051","Groundwater","GW","1980-02-28",46,"Private","State","Yes","No","No","Yes","(860) 289-4305",1,0,0,0,0,0,0,0,0,0,1,10,11,1,0,0,0,0,0,0,0,0,0,1,16,17,66,"Yes"
"CT0400061","Groundwater","GW","1981-01-09",45,"Private","State","Yes","No","No","Yes","(860) 668-5342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,"No"
